0,2125
10000,83540292
20000,563342000
30000,1370531041
40000,2596734250
50000,4199852042
60000,6171286583
70000,8576922583
80000,11271147458
90000,14335459042
100000,18377269666
110000,22313930542
120000,26605926542
130000,31385555375
140000,36423103875
150000,41907280166
160000,47978553125
170000,54077659666
180000,60516990042
190000,67816916209
200000,75459948709
210000,83038969084
220000,91043925875
230000,99682308416
240000,1.10446E+11
250000,1.18587E+11
260000,1.30108E+11
270000,1.38544E+11
280000,1.48863E+11
290000,1.59632E+11
300000,1.71206E+11
310000,1.8321E+11
320000,1.94827E+11
330000,2.07588E+11
340000,2.2026E+11
350000,2.3409E+11
360000,2.47599E+11
370000,2.61546E+11
380000,2.76132E+11
390000,2.89829E+11
400000,3.05679E+11
410000,3.20956E+11
420000,3.37939E+11
430000,3.5374E+11
440000,3.70478E+11
450000,3.87697E+11
460000,4.05384E+11
470000,4.23412E+11
480000,4.4179E+11
490000,4.60403E+11
500000,4.79239E+11